,Channel,B,T,Isotope,G,sigma
308,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.046415888336127800,0.001,H,3.23076025252913E-16,0.0177940440842905
309,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.046415888336127800,0.001,T,1.16427698841793E-14,0.641248326675298
310,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.06812920690579610,0.001,H,3.850504298131E-16,0.0212074056482702
311,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.06812920690579610,0.001,T,1.56647051083733E-14,0.862764276759938
312,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1,0.001,H,4.57980730961349E-16,0.0252241846484966
313,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1,0.001,T,2.18101949663767E-14,1.20123915234772
314,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1467799267622070,0.001,H,5.43151701983378E-16,0.0299151424869231
315,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1467799267622070,0.001,T,3.12286847099027E-14,1.71998089919366
316,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.21544346900318800,0.001,H,6.42381537631898E-16,0.0353804197962636
317,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.21544346900318800,0.001,T,4.58049236884961E-14,2.52279577462492
318,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.31622776601683800,0.001,H,7.58292752064937E-16,0.0417644566738701
319,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.31622776601683800,0.001,T,6.84864250224297E-14,3.77202382959422
320,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.46415888336127800,0.001,H,8.93503475087018E-16,0.0492114517402489
321,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.46415888336127800,0.001,T,1.03582206161641E-13,5.70499262935233
322,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.6812920690579610,0.001,H,1.04896661618038E-15,0.0577738883491924
323,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.6812920690579610,0.001,T,1.56570163496166E-13,8.62340803330849
324,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",1.0,0.001,H,1.2239746625708E-15,0.0674127988506414
325,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",1.0,0.001,T,2.2961730334341E-13,12.6466221534391
326,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",1.467799267622070,0.001,H,1.41373845376878E-15,0.0778644108621972
327,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",1.467799267622070,0.001,T,3.06214414580422E-13,16.8653578922292
328,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",2.154434690031880,0.001,H,1.60600801852552E-15,0.0884540332542345
329,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",2.154434690031880,0.001,T,3.35919151272798E-13,18.5014043732474
330,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",3.1622776601683800,0.001,H,1.77449602943282E-15,0.0977338400471156
331,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",3.1622776601683800,0.001,T,2.95565840689931E-13,16.2788668547284
332,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",4.6415888336127800,0.001,H,1.87341995981915E-15,0.103182269025737
333,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",4.6415888336127800,0.001,T,2.29869795673186E-13,12.6605286624209
334,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",6.812920690579610,0.001,H,1.84300241970617E-15,0.101506963501960
335,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",6.812920690579610,0.001,T,2.11963881833489E-13,11.6743254305852
336,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",10.0,0.001,H,1.66034086988216E-15,0.0914465213273080
337,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",10.0,0.001,T,1.8089289314294E-13,9.96302994813851
338,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.001,0.001,H,1.25129390696326E-17,0.000689174596767999
339,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.001,0.001,T,7.59649586225599E-17,0.00418391869694747
340,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0014677992676220700,0.001,H,1.60742254206144E-17,0.000885319409050321
341,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0014677992676220700,0.001,T,1.00770943228324E-16,0.00555015682397550
342,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0021544346900318800,0.001,H,1.95996524105008E-17,0.00107948919687311
343,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0021544346900318800,0.001,T,1.39797951626174E-16,0.00769964565517456
344,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0031622776601683800,0.001,H,2.45566807376039E-17,0.00135250722880692
345,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0031622776601683800,0.001,T,1.93243124638727E-16,0.0106432431069924
346,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.004641588833612780,0.001,H,2.93833331832022E-17,0.00161834455402872
347,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.004641588833612780,0.001,T,2.66095003449695E-16,0.0146557028435852
348,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.006812920690579610,0.001,H,3.3833875489317E-17,0.00186346687758093
349,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.006812920690579610,0.001,T,3.5057592840325E-16,0.0193086550449390
350,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01,0.001,H,3.68861317950588E-17,0.00203157586436943
351,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01,0.001,T,4.39671608712413E-16,0.0242157739247755
352,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01467799267622070,0.001,H,3.61861523979324E-17,0.00199302312978997
353,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01467799267622070,0.001,T,5.06840607189837E-16,0.0279152379102857
354,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.021544346900318800,0.001,H,3.07690286206135E-17,0.00169466444090796
355,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.021544346900318800,0.001,T,5.0968301397305E-16,0.0280717890241183
356,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.03162277660168380,0.001,H,2.16384088959205E-17,0.00119177769847359
357,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.03162277660168380,0.001,T,4.23000502952398E-16,0.0232975801634298
358,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.046415888336127800,0.001,H,1.16454322597497E-17,0.000641394962217910
359,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.046415888336127800,0.001,T,2.69088695011438E-16,0.0148205862625350
