,Channel,B,T,Isotope,G,sigma
113,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01,0.001,T,5.17055709806722e-15,0.493250911780442
114,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01467799267622069,0.001,H,1.72670704117369e-16,0.00951017680350839
115,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.01467799267622069,0.001,T,5.81303528403972e-15,0.554540816334139
116,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.021544346900318832,0.001,H,1.95264401724712e-16,0.0107545688964762
117,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.021544346900318832,0.001,T,6.81381476785638e-15,0.650011262462324
118,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.03162277660168379,0.001,H,2.26535779342658e-16,0.0124769011910952
119,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.03162277660168379,0.001,T,8.38566554470816e-15,0.799959675014377
120,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.046415888336127774,0.001,H,2.67697153978640e-16,0.0147439444180548
121,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.046415888336127774,0.001,T,1.08334186821633e-14,1.03346574485635
122,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.06812920690579612,0.001,H,3.18393629371148e-16,0.0175361519715130
123,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.06812920690579612,0.001,T,1.45906356946032e-14,1.39188954368370
124,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1,0.001,H,3.77693666353373e-16,0.0208022175096034
125,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1,0.001,T,2.03386277461594e-14,1.94022549019063
126,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1467799267622069,0.001,H,4.46608977957824e-16,0.0245978631066800
127,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1467799267622069,0.001,T,2.91597062011423e-14,2.78172185282311
128,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.21544346900318823,0.001,H,5.26588393122634e-16,0.0290028858506745
129,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.21544346900318823,0.001,T,4.28183017542742e-14,4.08469841462165
130,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.31622776601683794,0.001,H,6.19662534529127e-16,0.0341291262580155
