,Channel,B,T,Isotope,G,sigma
117,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.021544346900318832,0.001,T,7.56491574859431e-15,0.721663356532932
118,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.03162277660168379,0.001,H,2.72990547250230e-16,0.0150354884072952
119,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.03162277660168379,0.001,T,9.31267339356869e-15,0.888392595878748
120,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.046415888336127774,0.001,H,3.23253700716184e-16,0.0178038299079946
121,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.046415888336127774,0.001,T,1.20359750505704e-14,1.14818491610501
122,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.06812920690579612,0.001,H,3.85297141665608e-16,0.0212209937861588
123,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.06812920690579612,0.001,T,1.62140140233187e-14,1.54675348302649
124,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1,0.001,H,4.58296806563697e-16,0.0252415931305954
125,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1,0.001,T,2.26125752676969e-14,2.15715118447578
126,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1467799267622069,0.001,H,5.43500706881889e-16,0.0299343646144235
127,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.1467799267622069,0.001,T,3.24348943966906e-14,3.09416198897607
128,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.21544346900318823,0.001,H,6.43028772468570e-16,0.0354160675209984
129,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.21544346900318823,0.001,T,4.76698167764945e-14,4.54751396096213
130,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.31622776601683794,0.001,H,7.59162722102788e-16,0.0418123719755191
131,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.31622776601683794,0.001,T,7.14072799781938e-14,6.81197505200580
132,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.46415888336127775,0.001,H,8.94787863342582e-16,0.0492821919359133
133,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.46415888336127775,0.001,T,1.08238654729973e-13,10.3255440608914
134,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.6812920690579608,0.001,H,1.05094890169833e-15,0.0578830666017923
135,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.6812920690579608,0.001,T,1.63954532836862e-13,15.6406207838897
136,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",1.0,0.001,H,1.22661306138881e-15,0.0675581138267155
137,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",1.0,0.001,T,2.41188070067384e-13,23.0083979762592
138,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",1.467799267622069,0.001,H,1.41727566432874e-15,0.0780592296531922
139,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",1.467799267622069,0.001,T,3.23137279386637e-13,30.8260318307460
140,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",2.154434690031882,0.001,H,1.61150593738462e-15,0.0887568418902954
141,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",2.154434690031882,0.001,T,3.56945419248845e-13,34.0511960628301
142,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",3.1622776601683795,0.001,H,1.78333177040531e-15,0.0982204857654377
143,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",3.1622776601683795,0.001,T,3.15159154911077e-13,30.0649499787850
144,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",4.6415888336127775,0.001,H,1.88367109592252e-15,0.103746870399654
145,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",4.6415888336127775,0.001,T,2.43932117503677e-13,23.2701693626397
146,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",6.812920690579608,0.001,H,1.85662307294733e-15,0.102257147623608
147,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",6.812920690579608,0.001,T,2.24758267458981e-13,21.4410591067210
148,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",10.0,0.001,H,1.67689028845427e-15,0.0923580129287383
149,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",10.0,0.001,T,1.93518336728438e-13,18.4608919749126
150,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.001,0.001,H,1.25134431189141e-17,0.000689202358268186
151,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.001,0.001,T,7.60752269267808e-17,0.00725727892252952
152,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0014677992676220691,0.001,H,1.60754362648939e-17,0.000885386098667641
153,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0014677992676220691,0.001,T,1.01114272800732e-16,0.00964590590666151
154,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0021544346900318843,0.001,H,1.96003095639118e-17,0.00107952539088273
155,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0021544346900318843,0.001,T,1.40617891688906e-16,0.0134143965481250
156,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0031622776601683794,0.001,H,2.45588054139205e-17,0.00135262424951130
157,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.0031622776601683794,0.001,T,1.94874497377110e-16,0.0185902643933564
158,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.004641588833612777,0.001,H,2.93865526548087e-17,0.00161852187272530
159,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.004641588833612777,0.001,T,2.69037629098615e-16,0.0256651369164351
160,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.006812920690579608,0.001,H,3.38360741855498e-17,0.00186358797507699
